major,confidence,mention_count,total_likes,positive_rate,negative_rate,neutral_rate,sentiment_index,recommendation_score,employment_major
师范类,0.8199627926873997,5238,993161.0,74.49408171057655,13.783886979763269,11.722031309660176,60.710194730813285,6108.237527808769,
土木工程,0.8113591237316096,3212,510151.0,71.41967621419676,15.784557907845578,12.79576587795766,55.635118306351174,3553.3750092407636,土木工程
计算机科学与技术,0.8210396482761728,2870,579269.0,73.20557491289199,15.958188153310104,10.83623693379791,57.247386759581886,3293.249906506757,计算机科学与技术
新闻学,0.7953450675081506,3299,515397.0,59.50287966050318,25.94725674446802,14.549863595028798,33.55562291603516,2980.6459860987006,新闻学
金融学,0.8349358652612509,1742,594594.0,79.44890929965557,11.653272101033295,8.897818599311137,67.79563719862227,2206.0924733134234,金融学
临床医学,0.8319316464146291,1778,450561.0,75.25309336332958,13.048368953880765,11.698537682789652,62.204724409448815,2125.0945836249975,临床医学
数学,0.8304966851095842,1562,473398.0,75.35211267605634,14.532650448143405,10.115236875800255,60.81946222791293,1866.15998162272,数学与应用数学
法学,0.8225816914279214,1602,252810.0,74.15730337078652,14.294631710362045,11.548064918851436,59.862671660424475,1865.6491970530176,法学
经济学,0.8420097427785348,1223,453984.0,82.74734260016353,8.994276369582993,8.258381030253476,73.75306623058054,1626.7924010917857,经济学
生物工程,0.8042450650698609,1440,635630.0,68.54166666666667,17.708333333333336,13.750000000000002,50.833333333333336,1515.4445956929226,
环境工程,0.8514468098500398,967,294189.0,80.45501551189244,11.375387797311271,8.169596690796277,69.07962771458116,1264.6537190976153,
汉语言文学,0.8402106808137524,1032,250054.0,72.96511627906976,18.6046511627907,8.430232558139535,54.36046511627906,1207.863006209919,汉语言文学
会计学,0.8333488357628828,955,244394.0,77.17277486910994,14.031413612565444,8.795811518324607,63.1413612565445,1172.5431308843922,会计学
英语,0.816376863728164,1059,510264.0,69.40509915014165,19.54674220963173,11.048158640226628,49.85835694050992,1145.546000076748,英语
机械工程,0.8302421985250531,858,224187.0,73.77622377622379,15.967365967365968,10.256410256410255,57.80885780885782,1003.3282009667024,机械工程
历史学,0.8526374026777634,629,162138.0,82.82988871224165,8.585055643879173,8.585055643879173,74.24483306836248,848.0795853285887,
市场营销,0.8161809080916201,851,145279.0,63.10223266745005,23.384253819036427,13.513513513513514,39.71797884841362,836.7490409415806,市场营销
电子信息工程,0.8339770547333797,628,249091.0,75.15923566878982,15.127388535031846,9.713375796178344,60.03184713375797,751.5028060980437,电子信息工程
电气工程,0.8400521488463293,610,373163.0,74.42622950819671,14.098360655737704,11.475409836065573,60.327868852459005,728.1093462700142,电气工程及其自动化
艺术设计,0.8264080627637655,588,214974.0,72.27891156462584,16.49659863945578,11.224489795918368,55.78231292517006,670.5296423722801,艺术设计学
心理学,0.8714550850265904,475,193641.0,83.15789473684211,12.421052631578949,4.421052631578947,70.73684210526316,657.1683058142482,
化学类,0.8350518949060555,581,594291.0,69.53528399311531,20.481927710843372,9.982788296041308,49.05335628227194,644.0644626614096,化学
自动化,0.874113207363119,396,124293.0,83.33333333333334,12.373737373737374,4.292929292929292,70.95959595959597,550.7013333902813,自动化
软件工程,0.840761352706393,436,39205.0,74.31192660550458,17.660550458715598,8.027522935779817,56.651376146788984,520.0585686843667,软件工程
护理学,0.859319598581047,407,192243.0,77.64127764127764,14.987714987714988,7.371007371007371,62.65356265356265,518.4135035349578,护理学
口腔医学,0.8289528086191013,429,243310.0,71.7948717948718,17.94871794871795,10.256410256410255,53.84615384615385,487.4331138882841,口腔医学
物理学,0.8279491258729802,404,390434.0,73.26732673267327,17.326732673267326,9.405940594059405,55.94059405940594,467.8750310393321,物理学
工商管理,0.8125358544964401,453,231422.0,64.90066225165563,22.516556291390728,12.582781456953644,42.384105960264904,456.06250710567656,工商管理
材料类,0.8413280637506495,374,35364.0,73.52941176470588,19.518716577540108,6.951871657754011,54.01069518716578,441.70526447389966,
通信工程,0.8469502292793883,338,227864.0,77.81065088757396,16.56804733727811,5.621301775147929,61.24260355029585,425.2537424598684,
人工智能,0.8739887104659784,305,99610.0,82.29508196721311,12.131147540983607,5.573770491803279,70.1639344262295,418.80711402627054,人工智能
数据科学,0.8774392473347047,204,95350.0,87.74509803921569,5.392156862745098,6.862745098039216,82.3529411764706,299.8503728005196,数据科学与大数据技术
哲学,0.8530278441284885,238,43532.0,74.78991596638656,13.865546218487395,11.344537815126051,60.92436974789916,289.87964157096405,
美术,0.8021669440603784,271,241665.0,64.20664206642066,19.557195571955717,16.236162361623617,44.64944649446494,266.47011887458154,美术学
农学,0.8257526003117124,229,60617.0,65.93886462882097,23.144104803493452,10.91703056768559,42.79475982532752,238.04628225862655,农学
中医学,0.832924978243999,195,32576.0,69.74358974358974,23.589743589743588,6.666666666666667,46.153846153846146,216.2615445612521,中医学
兽医,0.8463159122434604,147,225791.0,74.82993197278913,15.646258503401361,9.523809523809524,59.18367346938776,177.72957301790885,
建筑学,0.8525970165546124,117,155062.0,88.88888888888889,2.564102564102564,8.547008547008547,86.32478632478632,169.28234005666226,建筑学
人力资源,0.8408062317541667,140,13152.0,75.0,22.857142857142858,2.142857142857143,52.14285714285714,168.54649548336675,人力资源管理
航空航天,0.9148706996440887,100,100015.0,92.0,3.0,5.0,89.0,160.68748447357038,
药学,0.8279026001691818,112,16848.0,67.85714285714286,18.75,13.392857142857142,49.10714285714286,120.12332495772779,药学
网络安全,0.916289548720083,62,58483.0,95.16129032258065,4.838709677419355,0.0,90.3225806451613,103.20939934036828,
音乐,0.7910658041636149,90,63093.0,74.44444444444444,14.444444444444443,11.11111111111111,60.0,101.1863476116117,音乐表演
体育,0.7925605706448825,106,74147.0,59.43396226415094,23.58490566037736,16.9811320754717,35.84905660377358,95.32515454491714,体育教育
